inspectionSeq,carriageId,model
K80,8222,25G
K80,354257,25G
K80,351447,25G
K80,351404,25G
K80,353106,25G
K80,354630,25G
K80,357031,25G
K80,893782,25G
K80,554518,25G
K80,680794,25G
K80,683602,25G
K80,680810,25G
K80,676777,25G
K80,676771,25G
K80,679123,25G
K80,679148,25G
K80,678951,25G
K80,679133,25G
K80,207147,25G
K288,683362,25G
K288,683343,25G
K288,681050,25G
K288,680131,25G
K288,680086,25G
K288,682082,25G
K288,677503,25G
K288,677502,25G
K288,682112,25G
K288,676944,25G
K288,555077,25G
K288,555350,25G
K288,683328,25G
K288,683355,25G
K288,678101,25G
K288,680134,25G
K288,355710,25G
K288,355614,25G
K288,351474,25G
K352,353610,25G
K352,351775,25G
K352,352066,25G
K352,355949,25G
K352,356632,25G
K352,893846,25G
K352,554370,25G
K352,685024,25G
K352,678031,25G
K352,678778,25G
K352,683291,25G
K352,678076,25G
K352,678010,25G
K352,680406,25G
K352,677161,25G
K352,206713,25G
K352,8057,25B
K272,207132,25G
K272,354715,25G
K272,351490,25G
K272,354842,25G
K272,355603,25G
K272,894041,25G
K272,554775,25G
K272,680173,25G
K272,680115,25G
K272,680117,25G
K272,683800,25G
K272,682021,25G
K272,682073,25G
K272,681072,25G
K272,680128,25G
K272,677523,25G
K272,680127,25G
K272,682043,25G
T78,206180,25K
T78,671080,25K
T78,673632,25K
T78,670536,25K
T78,892606,25K
T78,553296,25K
T78,553249,25K
T78,552824,25K
T78,553006,25K
T78,未识别,XXX
T78,671088,25K
T78,671094,25K
T78,673700,25K
T78,671076,25K
T78,673435,25K
T78,673718,25K
T78,671105,25K
T78,671096,25K
T78,998276,25K
T212,347972,25K
T212,348247,25K
T212,347962,25K
T212,673820,25K
T212,671525,25K
T212,671002,25K
T212,671248,25K
T212,80050,25K
T212,553337,25K
T212,552535,25K
T212,60195,25K
T212,673422,25K
T212,673821,25K
T212,671522,25K
T212,671272,25K
T212,60190,25K
T212,670989,25K
T212,673414,25K
T212,998942,25K
Z696,686089,25T
Z696,686070,25T
Z696,351327,25T
Z696,351325,25T
Z696,351330,25T
Z696,677245,25T
Z696,686066,25T
Z696,686084,25T
Z696,677249,25T
Z696,893514,25T
Z696,554613,25T
Z696,554611,25T
Z696,677229,25T
Z696,686077,25T
Z696,686073,25T
Z696,677261,25T
Z696,677248,25T
Z696,677237,25T
K124,206296,25G
K124,355518,25G
K124,355428,25G
K124,354235,25G
K124,353139,25G
K124,351104,25G
K124,351102,25G
K124,357096,25G
K124,894156,25G
K124,554720,25G
K124,681978,25G
K124,678276,25G
K124,678401,25G
K124,681900,25G
K124,680995,25G
K124,678447,25G
K124,678441,25G
K124,680355,25G
K124,683488,25G
